Country,Country_Code,Electricity_Consumption,coun_id,rural_pop
Brazil,BRA,132302,076,14.067
China,CHN,717610,156,43.222
Argentina,DEU,43880,032,8.107
Mexico,MXC,53914,484,20.483
Russian Federation,GBR,145919,643,25.899
India,IND,217405,356,66.864
Australia,AUS,58031,036,10.446
Saudi Arabia,SAU,135908,682,16.669
United States,USA,1416977,840,18.212
Egypt,EGY,62441,818,56.778
